Opening Spread,Team 1,Team 2,Game_Time,Betting Spread
+9.5 / -9.5,JAC,MIN,1:00 PM ET,+10.0 / -10.0
-8.0 / +8.0,LV,NYJ,1:00 PM ET,-7.5 / +7.5
+4.0 / -4.0,DET,CHI,1:00 PM ET,+3.0 / -3.0
+10.5 / -10.5,CIN,MIA,1:00 PM ET,+10.5 / -10.5
+3.5 / -3.5,CLE,TEN,1:00 PM ET,+4.5 / -4.5
-3.5 / +3.5,IND,HOU,1:00 PM ET,-3.0 / +3.0
-3.5 / +3.5,NO,ATL,1:00 PM ET,-3.0 / +3.0
PK / PK,LAR,ARI,4:05 PM ET,-2.5 / +2.5
+7.5 / -7.5,NYG,SEA,4:05 PM ET,+10.5 / -10.5
+7.0 / -7.0,PHI,GB,4:25 PM ET,+9.0 / -9.0
+2.5 / -2.5,NE,LAC,4:25 PM ET,+1.5 / -1.5
+13.0 / -13.0,DEN,KC,8:20 PM ET,+13.5 / -13.5
+11.0 / -11.0,WAS,PIT,5:00 PM ET,+7.0 / -7.0
-2.5 / +2.5,BUF,SF,8:15 PM ET,+1.0 / -1.0
+7.5 / -7.5,DAL,BAL,8:05 PM ET,+7.5 / -7.5
