Ref Name,Mapped Name 0,Mapped Name 1
ARI,Arizona Cardinals,ARI
ATL,Atlanta Falcons,ATL
BAL,Baltimore Ravens,BAL
BUF,Buffalo Bills,BUF
CAR,Carolina Panthers,CAR
CHI,Chicago Bears,CHI
CIN,Cincinnati Bengals,CIN
CLE,Cleveland Browns,CLE
DAL,Dallas Cowboys,DAL
DEN,Denver Broncos,DEN
DET,Detroit Lions,DET
GB,Green Bay Packers,GNB
HOU,Houston Texans,HOU
IND,Indianapolis Colts,IND
JAC,Jacksonville Jaguars,JAX
KC,Kansas City Chiefs,KAN
LARM,Los Angeles Rams,LAR
MIA,Miami Dolphins,MIA
MIN,Minnesota Vikings,MIN
NE,New England Patriots,NWE
NO,New Orleans Saints,NOR
NYG,New York Giants,NYG
NYJ,New York Jets,NYJ
OAK,Oakland Raiders,OAK
PHI,Philadelphia Eagles,PHI
PIT,Pittsburgh Steelers,PIT
SD,San Diego Chargers,SDG
SEA,Seattle Seahawks,SEA
SF,San Francisco 49ers,SFO
TB,Tampa Bay Buccaneers,TAM
TEN,Tennessee Titans,TEN
WAS,Washington Redskins,WAS
