Team,Week,Opponent,Home Team,Short Week,Off Bye Week,Year,Games Played,W-L%,Point Differential Per Game,Spread,Over/Under,Sacks Against Per Game,Sacks For Per Game,Yards per Rush For,Rushing Yards For Per Game,Yards per Rush Against,Rushing Yards Against Per Game,Passer Rating For,Passing Yards For Per Game,Passer Rating Against,Passing Yards Against Per Game,Time of Poss Per Game,Yards For per Play,Yards Against per Play,Penalty Yards Margin Per Game,3rd Down %_For,3rd Down % Against,Total Yard Margin Per Game,Turnover Margin Per Game,Game Scoring Margin,Spread to Result Difference,Spread Result Class
ARI,16,SEA,0,0,0,2019,14,0.321,-6.29,8.0,51.0,3.36,2.43,4.91,119.0,4.45,122.71,87.5,214.0,111.9,290.43,27.5,5.3586,6.1206,-3.5,35.5,47.8,-80.14,0.21,14,22.0,1
ATL,16,JAX,1,0,0,2019,14,0.357,-2.57,-7.5,48.0,3.07,1.71,3.73,81.36,4.05,108.86,95.3,288.93,99.5,253.71,30.36,5.5385,5.7682,-7.710000000000001,41.5,42.7,7.71,-0.43,12,4.5,1
BAL,16,CLE,0,0,0,2019,14,0.857,15.36,-9.5,48.5,1.79,2.43,5.53,202.14,4.52,96.14,111.6,207.57,78.5,218.14,34.43,6.2011,5.3790,6.859999999999999,46.3,37.6,95.43,0.71,16,6.5,1
BUF,16,NWE,0,1,0,2019,14,0.714,4.93,7.0,38.5,2.5,3.0,4.48,134.93,4.36,101.43,84.6,201.21,76.7,190.5,30.64,5.2058,4.7969,4.93,37.4,34.8,44.21,0.36,-7,0.0,0
CAR,16,IND,0,0,0,2019,14,0.357,-4.71,7.5,46.0,3.64,3.5,4.87,120.79,5.19,140.21,78.8,225.93,87.1,237.57,28.93,5.1804,5.7930,-17.29,32.2,40.4,-31.07,-0.57,-32,-24.5,-1
CHI,16,KAN,1,0,0,2019,14,0.500,0.21,6.5,45.5,2.71,2.21,3.54,85.64,3.77,96.57,85.2,212.79,85.6,227.43,30.0,4.7156,5.0011,-4.140000000000001,34.6,34.9,-25.57,-0.14,-23,-16.5,-1
CIN,16,MIA,0,0,0,2019,14,0.071,-10.57,-1.5,46.0,3.07,1.64,3.98,91.36,4.92,158.0,73.3,221.36,96.0,233.71,28.93,4.8862,6.1411,-17.43,35.3,43.9,-79.0,-1.14,-3,-4.5,-1
CLE,16,BAL,1,0,0,2019,14,0.429,-2.29,9.5,48.5,2.43,2.64,5.00,126.43,4.93,135.21,78.2,223.64,87.7,217.86,30.29,5.6528,5.6491,17.499999999999993,37.4,34.1,-3.0,-0.43,-16,-6.5,-1
DAL,16,PHI,0,0,0,2019,14,0.500,6.43,-2.0,47.0,1.29,2.57,4.73,134.0,4.06,103.57,99.2,300.0,92.6,220.0,29.57,6.4984,5.1186,6.580000000000005,48.6,34.3,110.43,-0.07,-8,-10.0,-1
DEN,16,DET,1,0,0,2019,14,0.357,-3.21,-9.5,40.0,2.79,2.43,4.13,103.0,4.15,113.57,82.5,196.36,89.6,223.86,29.0,5.0494,5.3439,-4.649999999999999,31.5,38.0,-38.07,0.07,10,0.5,1
DET,16,DEN,0,0,0,2019,14,0.250,-4.93,9.5,40.0,2.71,1.93,3.83,98.71,4.04,113.21,90.6,262.21,102.5,288.64,29.79,5.5164,5.9787,0.4299999999999997,42.1,44.5,-40.93,-0.36,-10,-0.5,-1
GNB,16,MIN,0,0,0,2019,14,0.786,3.36,4.0,47.0,2.29,2.5,4.27,106.5,4.58,120.93,100.2,230.14,84.3,250.36,30.71,5.4866,5.8470,-16.5,35.5,40.0,-34.64,1.0,13,17.0,1
HOU,16,TAM,0,1,0,2019,14,0.643,0.79,-3.0,50.0,2.86,2.0,4.78,130.86,4.62,113.29,99.8,245.0,100.8,266.07,29.93,5.9190,5.9809,3.210000000000001,46.1,48.0,-3.5,-0.14,3,0.0,0
IND,16,CAR,1,0,0,2019,14,0.429,-1.86,-7.5,46.0,1.86,2.36,4.32,127.14,4.18,100.93,87.2,204.21,102.0,249.79,30.64,5.1602,5.7833,-23.779999999999994,42.4,42.1,-19.36,0.0,32,24.5,1
JAX,16,ATL,0,0,0,2019,14,0.357,-7.36,7.5,48.0,2.57,3.07,4.48,109.0,5.15,140.14,89.8,235.79,96.1,232.29,30.43,5.3933,5.9862,22.779999999999994,33.3,41.2,-27.64,-0.21,-12,-4.5,-1
KAN,16,CHI,0,0,0,2019,14,0.714,7.86,-6.5,45.5,1.71,2.79,4.03,92.93,4.99,131.57,105.1,291.43,82.0,225.14,29.5,6.2208,5.4879,11.780000000000001,45.8,35.4,27.64,0.5,23,16.5,1
LAC,16,OAK,1,0,0,2019,14,0.357,0.64,-7.5,45.0,2.14,1.93,4.08,94.71,4.10,110.29,89.7,278.79,95.5,197.36,30.64,6.0311,5.2977,-4.0,44.6,43.3,65.86,-1.14,-7,-14.5,-1
LAR,16,SFO,0,1,0,2019,14,0.571,1.86,7.0,45.5,1.5,3.07,3.82,93.86,4.01,115.64,83.8,276.07,88.1,220.57,28.14,5.7163,5.0128,1.7800000000000011,37.9,38.9,33.71,-0.43,-3,4.0,1
MIA,16,CIN,1,0,0,2019,14,0.214,-13.86,1.5,46.0,3.86,1.29,3.40,71.21,4.55,140.86,76.2,219.43,102.4,257.86,28.0,4.6986,6.1273,-18.999999999999993,33.5,44.3,-108.07,-0.86,3,4.5,1
MIN,16,GNB,1,0,0,2019,14,0.714,8.5,-4.0,47.0,1.64,2.93,4.38,135.86,4.10,99.0,111.1,236.79,87.6,239.93,29.71,5.9966,5.2547,11.86,44.1,39.7,33.71,0.79,-13,-17.0,-1
NOR,16,TEN,0,0,0,2019,14,0.786,5.36,-3.5,49.0,1.5,3.14,4.38,108.64,4.22,90.79,108.8,264.64,89.1,238.0,32.14,5.9522,5.2787,22.79,43.2,34.8,44.5,0.79,10,6.5,1
NWE,16,BUF,1,1,0,2019,14,0.786,13.64,-7.0,38.5,1.93,2.93,3.70,101.79,4.29,98.07,86.8,248.07,57.4,170.29,31.57,5.0495,4.5429,-6.789999999999999,37.7,23.3,81.5,1.71,7,0.0,0
NYG,16,WAS,0,0,0,2019,14,0.214,-7.07,-1.0,42.0,2.71,2.29,4.31,96.93,3.91,115.07,83.6,222.14,100.6,261.79,28.43,5.1286,5.7223,-8.079999999999998,36.3,39.6,-57.79,-1.07,6,5.0,1
NYJ,16,PIT,1,0,0,2019,14,0.357,-6.86,3.0,36.5,3.43,2.14,3.35,77.57,3.34,88.79,80.2,196.57,92.4,239.86,28.71,4.6185,5.0560,16.72,30.6,41.1,-54.5,-0.5,6,9.0,1
OAK,16,LAC,0,0,0,2019,14,0.429,-8.0,7.5,45.0,1.71,2.07,4.40,121.21,4.09,105.79,99.7,234.21,105.7,262.43,30.64,5.8063,6.0647,21.220000000000006,44.4,44.9,-12.79,-0.14,7,14.5,1
PHI,16,DAL,1,0,0,2019,14,0.500,0.43,2.0,47.0,2.5,2.64,4.33,121.43,4.01,90.43,91.2,231.5,93.7,238.07,32.93,5.1415,5.5210,-10.0,47.0,35.4,24.43,-0.43,8,10.0,1
PIT,16,NYJ,0,0,0,2019,14,0.571,0.71,-3.0,36.5,1.86,3.5,3.69,91.5,3.74,103.21,78.2,194.21,80.4,204.14,29.21,4.8721,4.7705,-17.209999999999994,34.9,36.5,-21.64,0.64,-6,-9.0,-1
SEA,16,ARI,1,0,0,2019,14,0.786,1.86,-8.0,51.0,3.0,1.71,4.60,141.71,4.64,107.29,108.1,245.36,84.0,271.0,31.71,5.8966,5.9041,7.43,40.2,38.3,8.79,0.93,-14,-22.0,-1
SFO,16,LAR,1,1,0,2019,14,0.786,11.5,-7.0,45.5,2.0,3.36,4.56,147.0,4.63,114.64,104.0,236.21,81.5,154.36,32.21,5.9086,4.5538,-2.0700000000000003,45.1,30.9,114.21,0.36,3,-4.0,-1
TAM,16,HOU,1,1,0,2019,14,0.500,1.29,3.0,50.0,3.07,2.57,3.49,91.36,3.35,73.29,87.7,308.79,92.1,276.79,31.43,5.7872,5.3099,6.1399999999999935,41.7,34.4,50.07,-0.57,-3,0.0,0
TEN,16,NOR,1,0,0,2019,14,0.571,4.29,3.5,49.0,3.64,2.57,4.81,130.64,3.98,104.36,105.2,222.29,90.1,258.07,28.43,5.9458,5.4854,-5.779999999999994,37.0,37.2,-9.5,0.43,-10,-6.5,-1
WAS,16,NYG,1,0,0,2019,14,0.214,-9.43,1.0,42.0,3.21,3.0,4.56,101.07,4.43,136.43,80.8,167.71,97.2,227.36,26.79,4.9578,5.4296,5.93,28.1,48.0,-95.0,0.14,-6,-5.0,-1
