TEAM,TOTAL  DVOA,LAST  WEEK,WEI.  DVOA,RANK,W-L,OFF.  DVOA,OFF.  RANK,DEF.  DVOA,DEF.  RANK,S.T.  DVOA,S.T.  RANK
BAL,40.8%,1,44.6%,1,12-2,28.9%,1,-11.6%,5,0.3%,14
NWE,33.3%,2,24.7%,5,11-3,1.9%,14,-31.0%,1,0.4%,13
SFO,29.4%,3,26.2%,3,11-3,6.2%,9,-23.0%,2,0.2%,16
NOR,28.6%,5,35.3%,2,11-3,19.0%,5,-6.3%,10,3.3%,3
KAN,27.7%,4,25.7%,4,10-4,21.0%,3,-4.3%,11,2.4%,6
SEA,18.8%,6,19.5%,7,11-3,20.5%,4,0.2%,14,-1.6%,25
MIN,18.6%,7,20.0%,6,10-4,9.1%,7,-9.3%,6,0.2%,15
DAL,17.8%,8,14.5%,8,7-7,27.2%,2,4.9%,22,-4.5%,32
GNB,8.2%,10,3.6%,12,11-3,10.1%,6,2.7%,17,0.8%,10
LAR,5.6%,9,3.2%,13,8-6,-2.0%,18,-8.4%,8,-0.8%,21
BUF,5.6%,11,11.8%,9,10-4,-6.6%,22,-13.3%,4,-1.1%,22
TEN,3.6%,12,8.4%,10,8-6,6.7%,8,0.4%,15,-2.7%,28
TAM,3.3%,16,8.2%,11,7-7,-4.0%,21,-7.7%,9,-0.4%,19
CHI,0.6%,15,0.6%,16,7-7,-9.4%,23,-9.0%,7,1.1%,9
PHI,0.5%,13,2.0%,14,7-7,1.6%,15,1.0%,16,0.0%,18
PIT,-1.4%,14,1.7%,15,8-6,-21.5%,30,-17.3%,3,2.8%,4
HOU,-4.1%,20,-7.8%,21,9-5,3.3%,11,9.6%,27,2.2%,7
LAC,-6.0%,18,-2.8%,17,5-9,2.2%,13,4.6%,21,-3.5%,31
CLE,-6.9%,17,-7.0%,20,6-8,-2.9%,20,4.0%,19,0.0%,17
ATL,-7.3%,25,-3.4%,18,5-9,0.4%,16,5.4%,23,-2.3%,27
IND,-7.8%,19,-9.4%,23,6-8,-1.9%,17,3.0%,18,-2.9%,30
ARI,-10.3%,24,-6.1%,19,4-9-1,2.8%,12,10.3%,28,-2.8%,29
DEN,-10.9%,21,-8.3%,22,5-9,-11.5%,26,-1.9%,12,-1.3%,24
DET,-11.7%,22,-18.2%,26,3-10-1,-2.6%,19,9.5%,26,0.5%,12
OAK,-13.5%,23,-15.1%,24,6-8,4.8%,10,16.3%,31,-2.0%,26
CAR,-18.7%,27,-27.6%,30,5-9,-10.8%,24,6.6%,24,-1.2%,23
NYG,-19.0%,29,-18.2%,25,3-11,-11.4%,25,8.2%,25,0.6%,11
JAX,-20.3%,28,-29.9%,31,5-9,-11.7%,27,10.7%,29,2.1%,8
NYJ,-20.7%,26,-19.3%,27,5-9,-25.7%,32,-1.3%,13,3.7%,2
WAS,-23.3%,31,-24.6%,29,3-11,-22.0%,31,4.1%,20,2.8%,5
CIN,-25.2%,30,-22.3%,28,1-13,-16.7%,28,13.1%,30,4.6%,1
MIA,-44.4%,32,-36.6%,32,3-11,-19.9%,29,24.1%,32,-0.5%,20
