Season,Game,Week,Day,Time,WDVOA,Betting Spread,Scoring Margin,SRD,WDVOA Delta,EGO,Spread to EGO Diff,Margin to EGO Diff,Target Spreads,Make Pick,Pick
2020,BUF @ TEN,5,Tue,7:00PM,6.3%,-4.5,-26,-30.5,4.199999999999999,-1.3,-5.8,-24.7,"[[5.0, 3.0], [-0.0, -2.5]]",0,
2020,CAR @ ATL,5,Sun,1:00PM,-11.7%,-1.5,7,5.5,-11.2,-4.66,-6.16,11.66,"[[8.5, 6.0], [3.0, 1.0]]",0,
2020,CIN @ BAL,5,Sun,1:00PM,-12.1%,7.0,-24,-17.0,-29.799999999999997,-8.6,-1.5999999999999996,-15.4,"[[12.5, 10.0], [7.0, 5.0]]",1,BAL
2020,IND @ CLE,5,Sun,4:25PM,12.3%,-3.0,-9,-12.0,14.9,1.08,-1.92,-10.08,"[[2.5, 0.5], [-2.5, -5.0]]",1,CLE
2020,LAC @ NO,5,Mon,8:15PM,-3.2%,-3.5,-3,-6.5,-22.8,-7.13,-10.629999999999999,4.13,"[[11.0, 8.5], [5.5, 3.5]]",0,
2020,LAR @ WAS,5,Sun,1:00PM,8.3%,-3.5,20,16.5,-11.3,-4.68,-8.18,24.68,"[[8.5, 6.0], [3.0, 1.0]]",0,
2020,LV @ KC,5,Sun,1:00PM,-6.7%,2.5,8,10.5,-29.3,-8.5,-6.0,16.5,"[[12.0, 10.0], [7.0, 5.0]]",0,
2020,MIA @ SF,5,Sun,4:05PM,-14.1%,3.5,26,29.5,-21.4,-6.84,-3.34,32.84,"[[10.5, 8.5], [5.5, 3.0]]",1,SF
2020,MIN @ SEA,5,Sun,8:20PM,-0.7%,6.5,-1,5.5,-13.2,-5.09,1.4100000000000001,4.09,"[[9.0, 6.5], [3.5, 1.5]]",1,MIN
2020,NYG @ DAL,5,Sun,4:25PM,-14.5%,12.5,-3,9.5,-18.1,-6.13,6.37,3.13,"[[10.0, 7.5], [4.5, 2.5]]",0,
2020,PHI @ PIT,5,Sun,1:00PM,-5.3%,-11.0,-9,-20.0,-16.7,-5.84,-16.84,-3.16,"[[9.5, 7.5], [4.5, 2.0]]",0,
2020,TB @ CHI,5,Thu,8:20PM,15.2%,-12.5,-1,-13.5,20.1,2.25,-10.25,-3.25,"[[1.5, -1.0], [-4.0, -6.0]]",0,
